VALUE, SEQ, DICHO
888, 0.00250, 0.00000
889, 0.02303, 0.00000
890, 0.00761, 0.00000
891, 0.02496, 0.00010
892, 0.00650, 0.00000
893, 0.02316, 0.00000
894, 0.01048, 0.00000
895, 0.02320, 0.00000
896, 0.01866, 0.00000
897, 0.00845, 0.00000
898, 0.00010, 0.00000
899, 0.00050, 0.00000
900, 0.02570, 0.00000
901, 0.00325, 0.00000
902, 0.01425, 0.00000
903, 0.00340, 0.00000
904, 0.01210, 0.00000
905, 0.02321, 0.00000
906, 0.02517, 0.00000
907, 0.02366, 0.00000
908, 0.00300, 0.00000
909, 0.00585, 0.00010
910, 0.02415, 0.00000
911, 0.02411, 0.00000
912, 0.00805, 0.00000
913, 0.01610, 0.00000
914, 0.00330, 0.00000
915, 0.02313, 0.00000
916, 0.01695, 0.00000
917, 0.00346, 0.00000
918, 0.01218, 0.00000
919, 0.02470, 0.00000
920, 0.01891, 0.00000
921, 0.02071, 0.00000
922, 0.00090, 0.00000
923, 0.02318, 0.00000
924, 0.02441, 0.00000
925, 0.00070, 0.00000
926, 0.00250, 0.00000
927, 0.00915, 0.00000
928, 0.02488, 0.00000
929, 0.02440, 0.00000
930, 0.01245, 0.00010
931, 0.00465, 0.00000
932, 0.02527, 0.00000
933, 0.02467, 0.00000
934, 0.02323, 0.00000
935, 0.02337, 0.00000
936, 0.02300, 0.00000
937, 0.00490, 0.00000
938, 0.00405, 0.00000
939, 0.00430, 0.00000
940, 0.02393, 0.00000
941, 0.02540, 0.00000
942, 0.01275, 0.00000
943, 0.02166, 0.00000
944, 0.00880, 0.00000
945, 0.01941, 0.00000
946, 0.01882, 0.00000
947, 0.00190, 0.00000
948, 0.02066, 0.00010
949, 0.02480, 0.00000
950, 0.02230, 0.00000
951, 0.01310, 0.00000
952, 0.02229, 0.00000
953, 0.00955, 0.00000
954, 0.00030, 0.00000
955, 0.02290, 0.00000
956, 0.00435, 0.00000
957, 0.02090, 0.00000
958, 0.02220, 0.00010
959, 0.00070, 0.00000
960, 0.01900, 0.00000
961, 0.02371, 0.00000
962, 0.01751, 0.00000
963, 0.02038, 0.00000
964, 0.01900, 0.00010
965, 0.00050, 0.00000
966, 0.02260, 0.00000
967, 0.00705, 0.00000
968, 0.00480, 0.00000
969, 0.02226, 0.00000
970, 0.02546, 0.00010
971, 0.00755, 0.00000
972, 0.02400, 0.00000
973, 0.01536, 0.00000
974, 0.00060, 0.00000
975, 0.00220, 0.00000
976, 0.02482, 0.00000
977, 0.01565, 0.00000
978, 0.02368, 0.00000
979, 0.02511, 0.00000
980, 0.01812, 0.00000
981, 0.01076, 0.00000
982, 0.02336, 0.00000
983, 0.01541, 0.00000
984, 0.02642, 0.00000
985, 0.01240, 0.00000
986, 0.00130, 0.00000
987, 0.02020, 0.00000
988, 0.02645, 0.00000
989, 0.00010, 0.00010
990, 0.02606, 0.00000
991, 0.02489, 0.00000
992, 0.00770, 0.00000
